# downloaded from https://web.williams.edu/Astronomy/research/PN/nebulae/search/index.php
# wavelength (angstrom), flux
3950.5256443846501,1.091778E-14
3953.40557609399,1.5032829999999999E-14
3956.2855078033199,2.756723E-14
3959.1654395126502,5.8753290000000003E-14
3962.0453712219801,1.1329529999999999E-13
3964.9253029313199,1.8147259999999999E-13
3967.8052346406498,2.2091599999999999E-13
3970.6851663499801,2.0758249999999999E-13
3973.56509805931,1.5899769999999999E-13
3976.4450297686499,9.4302119999999997E-14
3979.3249614779802,4.4402459999999998E-14
3982.2048931873101,1.904261E-14
3985.0848248966399,1.204765E-14
3987.9647566059798,1.019908E-14
3990.8446883153101,7.7289490000000005E-15
3993.72462002464,9.3227449999999996E-15
3996.6045517339699,9.8175660000000006E-15
3999.4844834433102,8.0703000000000002E-15
4002.36441515264,8.7187180000000002E-15
4005.2443468619699,8.5000819999999995E-15
4008.1242785712998,8.005051E-15
